Source,Target,Type,Id,Label,Weight
22980,23007,Undirected,48520,,1
22980,23051,Undirected,48591,,1
22980,23085,Undirected,48704,,1
22980,23094,Undirected,48705,,1
22980,23118,Undirected,48743,,1
22980,23175,Undirected,48804,,1
22980,23189,Undirected,48805,,1
22980,23254,Undirected,48898,,1
22980,23257,Undirected,48899,,1
22986,22994,Undirected,48543,,1
22986,22997,Undirected,48544,,1
22986,23000,Undirected,48545,,1
22986,23057,Undirected,48660,,1
22986,23066,Undirected,48661,,1
22986,23085,Undirected,48718,,1
22986,23154,Undirected,48783,,1
22986,23175,Undirected,48817,,1
22986,23186,Undirected,48818,,1
22986,23189,Undirected,48819,,1
22986,23228,Undirected,48872,,1
22986,23254,Undirected,48908,,1
22986,23256,Undirected,48909,,1
22986,23264,Undirected,48936,,1
22986,23288,Undirected,48937,,1
22986,23306,Undirected,48957,,1
22989,22990,Undirected,48485,,1
22989,22991,Undirected,48486,,1
22989,23006,Undirected,48550,,1
22989,23007,Undirected,48551,,1
22989,23023,Undirected,48552,,1
22989,23187,Undirected,48821,,1
22989,23288,Undirected,48939,,1
22990,22991,Undirected,48487,,1
22990,23000,Undirected,48553,,1
22990,23007,Undirected,48554,,1
22990,23023,Undirected,48555,,1
22990,23024,Undirected,48610,,1
22990,23054,Undirected,48664,,1
22990,23085,Undirected,48722,,1
22990,23175,Undirected,48822,,1
22990,23189,Undirected,48823,,1
22990,23254,Undirected,48912,,1
22990,23257,Undirected,48913,,1
22990,23288,Undirected,48940,,1
22990,23350,Undirected,48973,,1
22991,23062,Undirected,48665,,1
22991,23288,Undirected,48941,,1
23003,23047,Undirected,49131,,1
23003,23111,Undirected,49369,,1
23003,23174,Undirected,49517,,1
23003,23175,Undirected,49518,,1
23003,23257,Undirected,49632,,1
23003,23299,Undirected,49729,,1
23012,23128,Undirected,49419,,1
23012,23174,Undirected,49526,,1
23012,23252,Undirected,49645,,1
23012,23297,Undirected,49750,,1
23012,23299,Undirected,49751,,1
23042,23055,Undirected,49932,,1
23042,23084,Undirected,49997,,1
23042,23148,Undirected,50092,,1
23042,23160,Undirected,50093,,1
23042,23170,Undirected,50094,,1
23042,23186,Undirected,50133,,1
23042,23219,Undirected,50204,,1
23042,23226,Undirected,50205,,1
23042,23256,Undirected,50258,,1
23042,23264,Undirected,50311,,1
23042,23292,Undirected,50312,,1
23042,23319,Undirected,50365,,1
23042,23327,Undirected,50390,,1
23042,23328,Undirected,50391,,1
23055,23056,Undirected,50406,,1
23055,23057,Undirected,50407,,1
23055,23062,Undirected,50408,,1
23055,23084,Undirected,50457,,1
23055,23094,Undirected,50458,,1
23055,23148,Undirected,50538,,1
23055,23160,Undirected,50539,,1
23055,23170,Undirected,50540,,1
23055,23175,Undirected,50598,,1
23055,23186,Undirected,50599,,1
23055,23211,Undirected,50646,,1
23055,23216,Undirected,50647,,1
23055,23217,Undirected,50648,,1
23055,23219,Undirected,50649,,1
23055,23262,Undirected,50702,,1
23055,23292,Undirected,50729,,1
23055,23299,Undirected,50765,,1
23055,23306,Undirected,50766,,1
23055,23327,Undirected,50787,,1
23055,23328,Undirected,50788,,1
23056,23175,Undirected,50600,,1
23056,23230,Undirected,50650,,1
23056,23277,Undirected,50730,,1
23056,23292,Undirected,50731,,1
23056,23296,Undirected,50767,,1
23057,23072,Undirected,50409,,1
23057,23121,Undirected,50499,,1
23057,23154,Undirected,50541,,1
23057,23160,Undirected,50542,,1
23057,23175,Undirected,50601,,1
23057,23194,Undirected,50602,,1
23057,23198,Undirected,50603,,1
23057,23203,Undirected,50604,,1
23057,23227,Undirected,50651,,1
23057,23262,Undirected,50703,,1
23057,23264,Undirected,50732,,1
23057,23268,Undirected,50733,,1
23057,23302,Undirected,50768,,1
23057,23306,Undirected,50769,,1
23057,23327,Undirected,50789,,1
23057,23350,Undirected,50790,,1
23063,23106,Undirected,50464,,1
23063,23175,Undirected,50609,,1
23063,23199,Undirected,50610,,1
23063,23257,Undirected,50708,,1
23063,23289,Undirected,50739,,1
23063,23324,Undirected,50792,,1
23063,23325,Undirected,50793,,1
23094,23155,Undirected,50872,,1
23094,23175,Undirected,50903,,1
23094,23189,Undirected,50904,,1
23094,23230,Undirected,50924,,1
23094,23277,Undirected,50984,,1
23094,23289,Undirected,50985,,1
23094,23292,Undirected,50986,,1
23094,23306,Undirected,51006,,1
23094,23328,Undirected,51026,,1
23128,23252,Undirected,51171,,1
23128,23299,Undirected,51204,,1
23140,23280,Undirected,51199,,1
23148,23160,Undirected,51238,,1
23148,23175,Undirected,51248,,1
23148,23186,Undirected,51249,,1
23148,23211,Undirected,51283,,1
23148,23226,Undirected,51284,,1
23148,23230,Undirected,51285,,1
23148,23256,Undirected,51342,,1
23148,23264,Undirected,51370,,1
