Id,Label,sex,agerank,wallcount,locale,modularityclass,origin,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
23225,Clint,male,127,278,en_US,1,Ann Arbor,24,6,6,0.362033,0.391834,93.682963
23231,Cedric,male,121,125,en_US,1,UMich,24,37,5,0.416965,0.475931,127.109334
23237,"Latoya ",female,115,54,en_US,1,UMich,24,25,5,0.405814,0.451242,17.791046
23240,Greg,male,112,307,en_US,1,other,24,2,6,0.321659,0.343696,2.338698
23243,Ray,male,109,143,en_US,1,UMich,24,6,5,0.328935,0.358262,0
23244,Sergio,male,108,109,en_US,1,UMich,24,48,5,0.447436,0.509265,546.475129
23252,Francis,male,100,,en_US,1,UMich,24,61,5,0.46164,0.534336,1227.496348
23260,Lonnie,male,92,39,en_US,1,UMich,24,11,5,0.359794,0.396371,62.635358
23261,Warren,male,91,10,en_US,1,UMich,24,6,5,0.331749,0.361127,0.241671
23267,"Colleen ",female,85,71,en_US,1,UMich,24,15,6,0.351107,0.388634,48.422091
23270,Brendan,male,82,88,en_US,1,UMich,24,50,5,0.435162,0.50234,247.751961
23278,Norman,male,74,,en_US,1,UMich,24,1,6,0.286066,0.303677,0
23291,Gilbert,male,61,,en_US,1,UMich,24,31,5,0.428221,0.479035,889.740445
23295,Jessie,male,57,134,en_US,1,UMich,24,36,5,0.422007,0.477268,107.890698
23298,Franklin,male,54,54,en_US,1,UMich,24,26,5,0.393461,0.448902,444.919373
23308,Bernard,male,44,115,en_US,1,research,24,16,5,0.384785,0.427937,3.885973
23310,Fred,male,42,11,en_US,1,UMich,24,69,4,0.47226,0.548949,915.199974
23314,"Laurie ",female,38,38,en_US,1,UMich,24,18,5,0.370882,0.413945,41.492061
23320,Colin,male,32,61,en_US,1,UMich,24,26,5,0.401149,0.45043,55.797355
23340,Marco,male,12,86,en_US,1,UMich,24,33,5,0.408665,0.464279,133.996445
