Year,State Abbr.,State Sales Tax Rate,State Food Sales Tax Rate,Soda,Chips/ Pretzels,Ice Cream,Region
2007,WV,6,5,5,5,5,
2008,WV,6,4,6,4,6,
2009,WV,6,3,6,3,6,
2010,WV,6,3,6,3,6,
2011,WV,6,3,6,3,6,
2012,WV,6,2,6,2,6,
2013,WV,6,1,6,1,6,
2014,WV,6,0,6,0,6,
1997,WI,5,0,5,5,0,
1998,WI,5,0,5,5,0,
1999,WI,5,0,5,5,0,
2000,WI,5,0,5,5,0,
2001,WI,5,0,5,5,0,
2002,WI,5,0,5,5,0,
2003,WI,5,0,5,5,0,
2004,WI,5,0,5,5,0,
2005,WI,5,0,5,5,0,
2006,WI,5,0,5,5,0,
2007,WI,5,0,5,5,0,
2008,WI,5,0,5,5,0,
2009,WI,5,0,5,5,0,
2010,WI,5,0,5,5,0,
2011,WI,5,0,5,5,0,
2012,WI,5,0,5,5,0,
2013,WI,5,0,5,5,0,
2014,WI,5,0,5,5,0,
1997,WY,4,4,4,4,4,
1998,WY,4,4,4,4,4,
1999,WY,4,4,4,4,4,
2000,WY,4,4,4,4,4,
2001,WY,4,4,4,4,4,
2002,WY,4,4,4,4,4,
2003,WY,4,4,4,4,4,
2004,WY,4,4,4,4,4,
2005,WY,4,4,4,4,4,
2006,WY,4,4,4,4,4,
2007,WY,4,0,4,0,4,
2008,WY,4,0,4,0,4,
2009,WY,4,0,4,0,4,
2010,WY,4,0,4,0,4,
2011,WY,4,0,4,0,4,
2012,WY,4,0,4,0,4,
2013,WY,4,0,4,0,4,
2014,WY,4,0,4,0,4,
