Pais,GDP,Emisiones,Poblacion,Region
Bahrain,41078,24.04279442,1426000,Asia
Austria,41445,7.736572851,8747000,Europa
Iceland,42085,10.49697769,332000,Europa
Taiwan,42165,11.18475318,23618000,Asia
Canada,43745,15.38142016,36383000,America
Sweden,44659,4.327102935,9836000,Europa
Germany,44689,9.7876606,82194000,Europa
Denmark,44836,6.498282097,5711000,Europa
Netherlands,45600,9.743854352,16981000,Europa
Hong Kong,48330,5.920417817,7244000,Asia
Australia,48845,17.13390232,24263000,Oceania
Saudi Arabia,51397,19.56733583,32443000,Asia
United States,53015,16.48416388,323016000,America
Ireland,56597,8.448467854,4696000,Europa
Luxembourg,57006,15.63699945,579000,Europa
Switzerland,59662,4.666285619,8380000,Europa
Singapore,65729,11.1746818,5654000,Asia
Kuwait,71010,25.52839225,3957000,Asia
United Arab Emirates,75876,25.18191094,9361000,Asia
Norway,82814,8.379483692,5251000,Europa
